compound_id,experiment_id,concentration,response_1,response_2,response_3
ic50_a,exp_1,0.0001,94.2817,94.8218,94.9529
ic50_a,exp_1,0.000316228,94.5543,94.5085,94.0163
ic50_a,exp_1,0.001,93.2488,92.5737,92.8049
ic50_a,exp_1,0.00316228,87.5671,87.2899,87.3938
ic50_a,exp_1,0.01,73.3763,73.4217,73.022
ic50_a,exp_1,0.0316228,47.4962,47.2044,47.5853
ic50_a,exp_1,0.1,22.773,22.7482,23.0233
ic50_a,exp_1,0.316228,10.7583,10.8755,11.0892
ic50_a,exp_1,1,6.69407,7.22909,6.56145
ic50_a,exp_1,3.16228,5.2332,5.49012,5.64703
ic50_a,exp_1,10,5.66281,4.86107,5.31804
ic50_a,exp_1,31.6228,5.40868,5.00597,5.46936
ic50_a,exp_1,100,5.29313,5.30051,4.79303
ic50_a,exp_2,0.0001,94.3008,95.2736,94.5965
ic50_a,exp_2,0.000316228,94.433,94.3994,94.0016
ic50_a,exp_2,0.001,92.6886,93.1051,93.2846
ic50_a,exp_2,0.00316228,87.6637,88.7813,88.8337
ic50_a,exp_2,0.01,75.4765,75.3164,75.3585
ic50_a,exp_2,0.0316228,49.3088,50.0221,49.9938
ic50_a,exp_2,0.1,24.5695,24.6978,24.4442
ic50_a,exp_2,0.316228,11.822,11.8106,11.5693
ic50_a,exp_2,1,7.03728,6.71837,7.21257
ic50_a,exp_2,3.16228,5.25658,5.38766,5.88603
ic50_a,exp_2,10,5.04835,5.3659,4.60059
ic50_a,exp_2,31.6228,4.85644,5.51672,5.44362
ic50_a,exp_2,100,5.30235,4.77575,5.08232
ic50_b,exp_1,0.0001,94.915,94.7766,94.7089
ic50_b,exp_1,0.000316228,95.185,94.6906,94.963
ic50_b,exp_1,0.001,95.185,95.3107,94.8062
ic50_b,exp_1,0.00316228,94.3407,94.3216,94.5267
ic50_b,exp_1,0.01,92.8076,93.0686,93.1654
ic50_b,exp_1,0.0316228,88.7002,89.0261,88.8621
ic50_b,exp_1,0.1,74.784,74.2581,74.8992
ic50_b,exp_1,0.316228,47.3351,46.6922,46.0434
ic50_b,exp_1,1,20.607,21.0735,21.1132
ic50_b,exp_1,3.16228,9.46726,9.4725,9.94575
ic50_b,exp_1,10,6.7194,6.22094,6.28068
ic50_b,exp_1,31.6228,5.21539,5.40845,4.99906
ic50_b,exp_1,100,4.6678,5.18443,4.96098
ic50_b,exp_2,0.0001,94.8696,95.0577,94.565
ic50_b,exp_2,0.000316228,95.2841,94.7337,95.126
ic50_b,exp_2,0.001,94.3791,94.2845,94.9606
ic50_b,exp_2,0.00316228,94.8722,95.0311,94.5831
ic50_b,exp_2,0.01,93.6046,93.6826,93.5284
ic50_b,exp_2,0.0316228,89.5609,90.1124,90.0012
ic50_b,exp_2,0.1,77.1217,77.1474,76.9216
ic50_b,exp_2,0.316228,49.7356,50.3498,49.6481
ic50_b,exp_2,1,23.3046,22.8519,23.2827
ic50_b,exp_2,3.16228,10.2993,10.3512,10.6673
ic50_b,exp_2,10,6.60748,6.59884,6.008
ic50_b,exp_2,31.6228,5.26454,5.59558,5.3793
ic50_b,exp_2,100,4.59961,5.28948,5.00057
three_state,exp_1,0.0001,66.9485,66.7623,66.9259
three_state,exp_1,0.000316228,66.6139,66.5402,66.7583
three_state,exp_1,0.001,66.5884,65.995,66.5482
three_state,exp_1,0.00316228,66.1744,65.8016,66.5915
three_state,exp_1,0.01,66.0607,66.3797,66.4347
three_state,exp_1,0.0316228,65.1214,65.4025,65.3896
three_state,exp_1,0.1,63.5946,63.6726,62.9877
three_state,exp_1,0.316228,58.0846,57.8277,57.6239
three_state,exp_1,1,45.8873,45.6692,46.4775
three_state,exp_1,3.16228,28.6433,29.107,28.7311
three_state,exp_1,10,15.2872,15.3336,15.5436
three_state,exp_1,31.6228,8.55178,9.01113,8.82833
three_state,exp_1,100,6.10205,6.23526,6.00648
three_state,exp_2,0.0001,66.1973,67.1762,66.4521
three_state,exp_2,0.000316228,66.5162,66.465,66.4224
three_state,exp_2,0.001,66.4315,66.4996,66.4875
three_state,exp_2,0.00316228,66.9845,66.598,66.2625
three_state,exp_2,0.01,65.56,66.1679,65.9714
three_state,exp_2,0.0316228,65.7065,65.2669,65.7876
three_state,exp_2,0.1,64.0372,64.1438,64.5179
three_state,exp_2,0.316228,59.2788,58.662,58.533
three_state,exp_2,1,47.3164,47.2503,47.5886
three_state,exp_2,3.16228,30.4736,30.7167,30.975
three_state,exp_2,10,16.5034,16.6376,16.7257
three_state,exp_2,31.6228,9.62146,9.34872,9.5724
three_state,exp_2,100,6.60786,6.11937,6.02687
four_state,exp_1,0.0001,66.9281,66.4088,66.2751
four_state,exp_1,0.000316228,66.2728,66.3612,66.2843
four_state,exp_1,0.001,66.6293,65.9512,66.519
four_state,exp_1,0.00316228,66.821,65.7811,66.4472
four_state,exp_1,0.01,66.2407,66.7049,67.0292
four_state,exp_1,0.0316228,65.8061,66.0195,65.9874
four_state,exp_1,0.1,64.8103,64.8349,65.3168
four_state,exp_1,0.316228,61.9095,61.9059,61.7987
four_state,exp_1,1,55.5678,55.4716,55.7061
four_state,exp_1,3.16228,47.6368,47.6789,46.8383
four_state,exp_1,10,42.0971,41.6688,41.6869
four_state,exp_1,31.6228,39.4183,38.874,39.1623
four_state,exp_1,100,37.6986,38.6253,38.7523
four_state,exp_2,0.0001,66.6295,66.0431,66.4816
four_state,exp_2,0.000316228,66.4263,67.2401,66.3013
four_state,exp_2,0.001,66.2428,66.5514,66.5079
four_state,exp_2,0.00316228,66.5075,66.3651,66.6028
four_state,exp_2,0.01,66.3922,66.1101,66.0727
four_state,exp_2,0.0316228,66.076,66.5884,65.8794
four_state,exp_2,0.1,64.8434,65.1655,65.1327
four_state,exp_2,0.316228,62.3926,62.5192,62.4928
four_state,exp_2,1,56.2129,56.9352,56.5537
four_state,exp_2,3.16228,48.0702,47.8072,48.0839
four_state,exp_2,10,42.4636,42.459,42.423
four_state,exp_2,31.6228,39.8696,39.3858,39.2649
four_state,exp_2,100,38.0243,38.319,38.6079
