compound_id,experiment_id,concentration,replicate_id,response
competitive_cmpd_1,exp_1,0.01,rep_1,67.489
competitive_cmpd_1,exp_1,0.01,rep_2,68.889
competitive_cmpd_1,exp_1,0.1,rep_1,13.849
competitive_cmpd_1,exp_1,0.1,rep_2,15.249
competitive_cmpd_1,exp_1,1.0,rep_1,0.634
competitive_cmpd_1,exp_1,1.0,rep_2,2.034
competitive_cmpd_1,exp_2,0.01,rep_1,70.727
competitive_cmpd_1,exp_2,0.01,rep_2,72.127
competitive_cmpd_1,exp_2,0.1,rep_1,15.867
competitive_cmpd_1,exp_2,0.1,rep_2,17.267
competitive_cmpd_1,exp_2,1.0,rep_1,0.855
competitive_cmpd_1,exp_2,1.0,rep_2,2.255
competitive_cmpd_2,exp_1,0.01,rep_1,78.459
competitive_cmpd_2,exp_1,0.01,rep_2,79.859
competitive_cmpd_2,exp_1,0.1,rep_1,22.581
competitive_cmpd_2,exp_1,0.1,rep_2,23.981
competitive_cmpd_2,exp_1,1.0,rep_1,1.527
competitive_cmpd_2,exp_1,1.0,rep_2,2.927
competitive_cmpd_2,exp_2,0.01,rep_1,81.014
competitive_cmpd_2,exp_2,0.01,rep_2,82.414
competitive_cmpd_2,exp_2,0.1,rep_1,25.242
competitive_cmpd_2,exp_2,0.1,rep_2,26.642
competitive_cmpd_2,exp_2,1.0,rep_1,1.925
competitive_cmpd_2,exp_2,1.0,rep_2,3.325
competitive_cmpd_3,exp_1,0.01,rep_1,87.037
competitive_cmpd_3,exp_1,0.01,rep_2,88.437
competitive_cmpd_3,exp_1,0.1,rep_1,34.515
competitive_cmpd_3,exp_1,0.1,rep_2,35.915
competitive_cmpd_3,exp_1,1.0,rep_1,3.252
competitive_cmpd_3,exp_1,1.0,rep_2,4.652
competitive_cmpd_3,exp_2,0.01,rep_1,88.886
competitive_cmpd_3,exp_2,0.01,rep_2,90.286
competitive_cmpd_3,exp_2,0.1,rep_1,37.76
competitive_cmpd_3,exp_2,0.1,rep_2,39.16
competitive_cmpd_3,exp_2,1.0,rep_1,3.945
competitive_cmpd_3,exp_2,1.0,rep_2,5.345
competitive_cmpd_4,exp_1,0.01,rep_1,92.677
competitive_cmpd_4,exp_1,0.01,rep_2,94.077
competitive_cmpd_4,exp_1,0.1,rep_1,49.3
competitive_cmpd_4,exp_1,0.1,rep_2,50.7
competitive_cmpd_4,exp_1,1.0,rep_1,6.432
competitive_cmpd_4,exp_1,1.0,rep_2,7.832
competitive_cmpd_4,exp_2,0.01,rep_1,93.875
competitive_cmpd_4,exp_2,0.01,rep_2,95.275
competitive_cmpd_4,exp_2,0.1,rep_1,52.927
competitive_cmpd_4,exp_2,0.1,rep_2,54.327
competitive_cmpd_4,exp_2,1.0,rep_1,7.557
competitive_cmpd_4,exp_2,1.0,rep_2,8.957
competitive_cmpd_5,exp_1,0.01,rep_1,95.967
competitive_cmpd_5,exp_1,0.01,rep_2,97.367
competitive_cmpd_5,exp_1,0.1,rep_1,64.085
competitive_cmpd_5,exp_1,0.1,rep_2,65.485
competitive_cmpd_5,exp_1,1.0,rep_1,11.914
competitive_cmpd_5,exp_1,1.0,rep_2,13.314
competitive_cmpd_5,exp_2,0.01,rep_1,96.691
competitive_cmpd_5,exp_2,0.01,rep_2,98.091
competitive_cmpd_5,exp_2,0.1,rep_1,67.33
competitive_cmpd_5,exp_2,0.1,rep_2,68.73
competitive_cmpd_5,exp_2,1.0,rep_1,13.619
competitive_cmpd_5,exp_2,1.0,rep_2,15.019
competitive_cmpd_6,exp_1,0.01,rep_1,97.746
competitive_cmpd_6,exp_1,0.01,rep_2,99.146
competitive_cmpd_6,exp_1,0.1,rep_1,76.019
competitive_cmpd_6,exp_1,0.1,rep_2,77.419
competitive_cmpd_6,exp_1,1.0,rep_1,20.646
competitive_cmpd_6,exp_1,1.0,rep_2,22.046
competitive_cmpd_6,exp_2,0.01,rep_1,98.167
competitive_cmpd_6,exp_2,0.01,rep_2,99.567
competitive_cmpd_6,exp_2,0.1,rep_1,78.68
competitive_cmpd_6,exp_2,0.1,rep_2,80.08
competitive_cmpd_6,exp_2,1.0,rep_1,23.307
competitive_cmpd_6,exp_2,1.0,rep_2,24.707
competitive_cmpd_7,exp_1,0.01,rep_1,98.673
competitive_cmpd_7,exp_1,0.01,rep_2,100.073
competitive_cmpd_7,exp_1,0.1,rep_1,84.751
competitive_cmpd_7,exp_1,0.1,rep_2,86.151
competitive_cmpd_7,exp_1,1.0,rep_1,32.58
competitive_cmpd_7,exp_1,1.0,rep_2,33.98
competitive_cmpd_7,exp_2,0.01,rep_1,98.911
competitive_cmpd_7,exp_2,0.01,rep_2,100.311
competitive_cmpd_7,exp_2,0.1,rep_1,86.769
competitive_cmpd_7,exp_2,0.1,rep_2,88.169
competitive_cmpd_7,exp_2,1.0,rep_1,35.825
competitive_cmpd_7,exp_2,1.0,rep_2,37.225
competitive_cmpd_8,exp_1,0.01,rep_1,99.156
competitive_cmpd_8,exp_1,0.01,rep_2,100.556
competitive_cmpd_8,exp_1,0.1,rep_1,90.236
competitive_cmpd_8,exp_1,0.1,rep_2,91.636
competitive_cmpd_8,exp_1,1.0,rep_1,47.365
competitive_cmpd_8,exp_1,1.0,rep_2,48.765
competitive_cmpd_8,exp_2,0.01,rep_1,99.288
competitive_cmpd_8,exp_2,0.01,rep_2,100.688
competitive_cmpd_8,exp_2,0.1,rep_1,91.678
competitive_cmpd_8,exp_2,0.1,rep_2,93.078
competitive_cmpd_8,exp_2,1.0,rep_1,50.992
competitive_cmpd_8,exp_2,1.0,rep_2,52.392
competitive_cmpd_9,exp_1,0.01,rep_1,99.408
competitive_cmpd_9,exp_1,0.01,rep_2,100.808
competitive_cmpd_9,exp_1,0.1,rep_1,93.916
competitive_cmpd_9,exp_1,0.1,rep_2,95.316
competitive_cmpd_9,exp_1,1.0,rep_1,62.15
competitive_cmpd_9,exp_1,1.0,rep_2,63.55
competitive_cmpd_9,exp_2,0.01,rep_1,99.48
competitive_cmpd_9,exp_2,0.01,rep_2,100.88
competitive_cmpd_9,exp_2,0.1,rep_1,94.901
competitive_cmpd_9,exp_2,0.1,rep_2,96.301
competitive_cmpd_9,exp_2,1.0,rep_1,65.395
competitive_cmpd_9,exp_2,1.0,rep_2,66.795
