compound_id,experiment_id,concentration,response_1,response_2
competitive_cmpd_1,exp_1,0.01,67.489,68.889
competitive_cmpd_1,exp_1,0.1,13.849,15.249
competitive_cmpd_1,exp_1,1.0,0.634,2.034
competitive_cmpd_1,exp_2,0.01,70.727,72.127
competitive_cmpd_1,exp_2,0.1,15.867,17.267
competitive_cmpd_1,exp_2,1.0,0.855,2.255
competitive_cmpd_2,exp_1,0.01,78.459,79.859
competitive_cmpd_2,exp_1,0.1,22.581,23.981
competitive_cmpd_2,exp_1,1.0,1.527,2.927
competitive_cmpd_2,exp_2,0.01,81.014,82.414
competitive_cmpd_2,exp_2,0.1,25.242,26.642
competitive_cmpd_2,exp_2,1.0,1.925,3.325
competitive_cmpd_3,exp_1,0.01,87.037,88.437
competitive_cmpd_3,exp_1,0.1,34.515,35.915
competitive_cmpd_3,exp_1,1.0,3.252,4.652
competitive_cmpd_3,exp_2,0.01,88.886,90.286
competitive_cmpd_3,exp_2,0.1,37.76,39.16
competitive_cmpd_3,exp_2,1.0,3.945,5.345
competitive_cmpd_4,exp_1,0.01,92.677,94.077
competitive_cmpd_4,exp_1,0.1,49.3,50.7
competitive_cmpd_4,exp_1,1.0,6.432,7.832
competitive_cmpd_4,exp_2,0.01,93.875,95.275
competitive_cmpd_4,exp_2,0.1,52.927,54.327
competitive_cmpd_4,exp_2,1.0,7.557,8.957
competitive_cmpd_5,exp_1,0.01,95.967,97.367
competitive_cmpd_5,exp_1,0.1,64.085,65.485
competitive_cmpd_5,exp_1,1.0,11.914,13.314
competitive_cmpd_5,exp_2,0.01,96.691,98.091
competitive_cmpd_5,exp_2,0.1,67.33,68.73
competitive_cmpd_5,exp_2,1.0,13.619,15.019
competitive_cmpd_6,exp_1,0.01,97.746,99.146
competitive_cmpd_6,exp_1,0.1,76.019,77.419
competitive_cmpd_6,exp_1,1.0,20.646,22.046
competitive_cmpd_6,exp_2,0.01,98.167,99.567
competitive_cmpd_6,exp_2,0.1,78.68,80.08
competitive_cmpd_6,exp_2,1.0,23.307,24.707
competitive_cmpd_7,exp_1,0.01,98.673,100.073
competitive_cmpd_7,exp_1,0.1,84.751,86.151
competitive_cmpd_7,exp_1,1.0,32.58,33.98
competitive_cmpd_7,exp_2,0.01,98.911,100.311
competitive_cmpd_7,exp_2,0.1,86.769,88.169
competitive_cmpd_7,exp_2,1.0,35.825,37.225
competitive_cmpd_8,exp_1,0.01,99.156,100.556
competitive_cmpd_8,exp_1,0.1,90.236,91.636
competitive_cmpd_8,exp_1,1.0,47.365,48.765
competitive_cmpd_8,exp_2,0.01,99.288,100.688
competitive_cmpd_8,exp_2,0.1,91.678,93.078
competitive_cmpd_8,exp_2,1.0,50.992,52.392
competitive_cmpd_9,exp_1,0.01,99.408,100.808
competitive_cmpd_9,exp_1,0.1,93.916,95.316
competitive_cmpd_9,exp_1,1.0,62.15,63.55
competitive_cmpd_9,exp_2,0.01,99.48,100.88
competitive_cmpd_9,exp_2,0.1,94.901,96.301
competitive_cmpd_9,exp_2,1.0,65.395,66.795
competitive_cmpd_10,exp_1,0.01,99.541,100.941
competitive_cmpd_10,exp_1,0.1,96.181,97.581
competitive_cmpd_10,exp_1,1.0,74.084,75.484
competitive_cmpd_10,exp_2,0.01,99.58,100.98
competitive_cmpd_10,exp_2,0.1,96.83,98.23
competitive_cmpd_10,exp_2,1.0,76.745,78.145
