compound_id,experiment_id,concentration,replicate_id,response
direct_cmpd_1,exp_1,0.01,rep_1,24.4
direct_cmpd_1,exp_1,0.01,rep_2,25.6
direct_cmpd_1,exp_1,0.1,rep_1,76.323
direct_cmpd_1,exp_1,0.1,rep_2,77.523
direct_cmpd_1,exp_1,1.0,rep_1,96.487
direct_cmpd_1,exp_1,1.0,rep_2,97.687
direct_cmpd_1,exp_2,0.01,rep_1,21.872
direct_cmpd_1,exp_2,0.01,rep_2,23.072
direct_cmpd_1,exp_2,0.1,rep_1,73.749
direct_cmpd_1,exp_2,0.1,rep_2,74.949
direct_cmpd_1,exp_2,1.0,rep_1,96.065
direct_cmpd_1,exp_2,1.0,rep_2,97.265
direct_cmpd_2,exp_1,0.01,rep_1,4.162
direct_cmpd_2,exp_1,0.01,rep_2,5.362
direct_cmpd_2,exp_1,0.1,rep_1,32.733
direct_cmpd_2,exp_1,0.1,rep_2,33.933
direct_cmpd_2,exp_1,1.0,rep_1,82.733
direct_cmpd_2,exp_1,1.0,rep_2,83.933
direct_cmpd_2,exp_2,0.01,rep_1,3.567
direct_cmpd_2,exp_2,0.01,rep_2,4.767
direct_cmpd_2,exp_2,0.1,rep_1,29.703
direct_cmpd_2,exp_2,0.1,rep_2,30.903
direct_cmpd_2,exp_2,1.0,rep_1,80.701
direct_cmpd_2,exp_2,1.0,rep_2,81.901
direct_cmpd_3,exp_1,0.01,rep_1,0.226
direct_cmpd_3,exp_1,0.01,rep_2,1.426
direct_cmpd_3,exp_1,0.1,rep_1,7.092
direct_cmpd_3,exp_1,0.1,rep_2,8.292
direct_cmpd_3,exp_1,1.0,rep_1,44.855
direct_cmpd_3,exp_1,1.0,rep_2,46.055
direct_cmpd_3,exp_2,0.01,rep_1,0.119
direct_cmpd_3,exp_2,0.01,rep_2,1.319
direct_cmpd_3,exp_2,0.1,rep_1,6.157
direct_cmpd_3,exp_2,0.1,rep_2,7.357
direct_cmpd_3,exp_2,1.0,rep_1,41.417
direct_cmpd_3,exp_2,1.0,rep_2,42.617
