compound_id,experiment_id,concentration,response_1,response_2
direct_cmpd_1,exp_1,0.01,24.4,25.6
direct_cmpd_1,exp_1,0.1,76.323,77.523
direct_cmpd_1,exp_1,1.0,96.487,97.687
direct_cmpd_1,exp_2,0.01,21.872,23.072
direct_cmpd_1,exp_2,0.1,73.749,74.949
direct_cmpd_1,exp_2,1.0,96.065,97.265
direct_cmpd_2,exp_1,0.01,4.162,5.362
direct_cmpd_2,exp_1,0.1,32.733,33.933
direct_cmpd_2,exp_1,1.0,82.733,83.933
direct_cmpd_2,exp_2,0.01,3.567,4.767
direct_cmpd_2,exp_2,0.1,29.703,30.903
direct_cmpd_2,exp_2,1.0,80.701,81.901
direct_cmpd_3,exp_1,0.01,0.226,1.426
direct_cmpd_3,exp_1,0.1,7.092,8.292
direct_cmpd_3,exp_1,1.0,44.855,46.055
direct_cmpd_3,exp_2,0.01,0.119,1.319
direct_cmpd_3,exp_2,0.1,6.157,7.357
direct_cmpd_3,exp_2,1.0,41.417,42.617
