compound_id,experiment_id,concentration,response_1,response_2
KP-762,exp_1,3000,129,132
KP-762,exp_1,1200,128,129
KP-762,exp_1,480,126,127
KP-762,exp_1,192,118,123
KP-762,exp_1,76.8,109,105
KP-762,exp_1,30.72,86,86
KP-762,exp_1,12.288,60,61
KP-762,exp_1,4.9152,39,38
KP-762,exp_1,1.96608,30,32
KP-762,exp_1,0.786432,23,24
KP-762,exp_1,0.3145728,24,29
KP-762,exp_2,3000,133,133
KP-762,exp_2,1200,131,131
KP-762,exp_2,480,127,124
KP-762,exp_2,192,121,119
KP-762,exp_2,76.8,109,107
KP-762,exp_2,30.72,87,83
KP-762,exp_2,12.288,62,60
KP-762,exp_2,4.9152,41,41
KP-762,exp_2,1.96608,32,36
KP-762,exp_2,0.786432,31,31
KP-762,exp_2,0.3145728,27,31
