compound_id,experiment_id,concentration,replicate_id,response
cmpd_1,exp_1,0.0001,rep_1,99.293
cmpd_1,exp_1,0.0001,rep_2,99.002
cmpd_1,exp_1,0.0001,rep_3,98.252
cmpd_1,exp_1,0.0001,rep_4,100.771
cmpd_1,exp_1,0.0001,rep_5,98.343
cmpd_1,exp_1,0.0003,rep_1,99.094
cmpd_1,exp_1,0.0003,rep_2,98.208
cmpd_1,exp_1,0.0003,rep_3,97.687
cmpd_1,exp_1,0.0003,rep_4,95.843
cmpd_1,exp_1,0.0003,rep_5,96.755
cmpd_1,exp_1,0.001,rep_1,97.678
cmpd_1,exp_1,0.001,rep_2,96.975
cmpd_1,exp_1,0.001,rep_3,92.894
cmpd_1,exp_1,0.001,rep_4,95.866
cmpd_1,exp_1,0.001,rep_5,97.666
cmpd_1,exp_1,0.003,rep_1,81.917
cmpd_1,exp_1,0.003,rep_2,88.025
cmpd_1,exp_1,0.003,rep_3,84.695
cmpd_1,exp_1,0.003,rep_4,88.099
cmpd_1,exp_1,0.003,rep_5,84.418
cmpd_1,exp_1,0.01,rep_1,60.132
cmpd_1,exp_1,0.01,rep_2,60.622
cmpd_1,exp_1,0.01,rep_3,65.246
cmpd_1,exp_1,0.01,rep_4,65.831
cmpd_1,exp_1,0.01,rep_5,62.618
cmpd_1,exp_1,0.03,rep_1,40.927
cmpd_1,exp_1,0.03,rep_2,34.579
cmpd_1,exp_1,0.03,rep_3,38.983
cmpd_1,exp_1,0.03,rep_4,35.823
cmpd_1,exp_1,0.03,rep_5,37.365
cmpd_1,exp_1,0.1,rep_1,15.092
cmpd_1,exp_1,0.1,rep_2,12.585
cmpd_1,exp_1,0.1,rep_3,13.899
cmpd_1,exp_1,0.1,rep_4,17.738
cmpd_1,exp_1,0.1,rep_5,13.368
cmpd_1,exp_1,0.3,rep_1,8.2
cmpd_1,exp_1,0.3,rep_2,2.776
cmpd_1,exp_1,0.3,rep_3,7.356
cmpd_1,exp_1,0.3,rep_4,9.872
cmpd_1,exp_1,0.3,rep_5,-0.928
