compound_id,experiment_id,concentration,response_1,response_2,response_3,response_4,response_5
cmpd_1,exp_1,0.0001,99.293,99.002,98.252,100.771,98.343
cmpd_1,exp_1,0.0003,99.094,98.208,97.687,95.843,96.755
cmpd_1,exp_1,0.001,97.678,96.975,92.894,95.866,97.666
cmpd_1,exp_1,0.003,81.917,88.025,84.695,88.099,84.418
cmpd_1,exp_1,0.01,60.132,60.622,65.246,65.831,62.618
cmpd_1,exp_1,0.03,40.927,34.579,38.983,35.823,37.365
cmpd_1,exp_1,0.1,15.092,12.585,13.899,17.738,13.368
cmpd_1,exp_1,0.3,8.2,2.776,7.356,9.872,-0.928
cmpd_1,exp_1,1.0,0.279,4.071,1.917,3.503,0.812
cmpd_1,exp_1,3.0,0.249,-0.42,3.232,0.711,0.941
cmpd_1,exp_1,10.0,0.215,0.004,0.158,2.44,0.189
cmpd_1,exp_2,0.0001,104.857,101.533,98.228,102.444,98.002
cmpd_1,exp_2,0.0003,93.312,96.154,93.774,97.966,98.987
cmpd_1,exp_2,0.001,100.333,96.609,95.102,97.996,89.604
cmpd_1,exp_2,0.003,86.788,88.266,82.057,89.295,87.072
cmpd_1,exp_2,0.01,65.553,68.445,72.966,67.2,67.384
cmpd_1,exp_2,0.03,39.916,38.838,43.475,38.82,41.381
cmpd_1,exp_2,0.1,15.156,17.797,17.397,19.338,15.067
cmpd_1,exp_2,0.3,6.753,4.795,6.271,8.537,9.585
cmpd_1,exp_2,1.0,-0.908,4.037,5.38,2.778,6.817
cmpd_1,exp_2,3.0,-1.389,-2.689,-4.163,4.875,2.552
cmpd_1,exp_2,10.0,0.327,1.253,-2.626,7.232,0.838
cmpd_1,exp_3,0.0001,100.363,99.688,98.98,96.18,99.663
cmpd_1,exp_3,0.0003,103.067,101.586,102.269,96.461,95.141
cmpd_1,exp_3,0.001,94.882,95.383,98.249,90.557,99.45
cmpd_1,exp_3,0.003,86.409,85.668,84.051,82.278,89.118
cmpd_1,exp_3,0.01,68.235,64.472,64.458,67.104,72.638
cmpd_1,exp_3,0.03,40.437,37.005,40.476,40.401,33.711
cmpd_1,exp_3,0.1,16.184,15.695,18.255,21.436,19.442
cmpd_1,exp_3,0.3,6.055,3.744,13.901,6.961,6.836
cmpd_1,exp_3,1.0,1.187,1.8,0.855,-0.331,-0.256
cmpd_1,exp_3,3.0,0.705,-0.704,-1.172,1.089,0.091
cmpd_1,exp_3,10.0,4.369,-7.099,3.23,3.657,-5.505
cmpd_2,exp_1,0.0001,98.466,95.607,97.346,96.427,104.328
cmpd_2,exp_1,0.0003,103.063,103.991,102.473,97.366,99.034
cmpd_2,exp_1,0.001,100.963,96.24,101.581,98.948,98.577
cmpd_2,exp_1,0.003,100.491,99.755,97.534,101.729,95.545
cmpd_2,exp_1,0.01,97.59,97.528,95.036,96.791,92.437
cmpd_2,exp_1,0.03,88.265,85.203,84.271,88.61,83.77
cmpd_2,exp_1,0.1,62.334,61.926,67.894,62.687,71.065
cmpd_2,exp_1,0.3,33.298,43.726,39.626,38.777,37.54
cmpd_2,exp_1,1.0,16.167,14.961,18.111,15.38,15.48
cmpd_2,exp_1,3.0,6.205,7.051,8.056,2.487,3.486
cmpd_2,exp_1,10.0,3.638,2.06,1.08,1.639,2.547
cmpd_2,exp_2,0.0001,98.515,101.204,97.962,101.79,95.964
cmpd_2,exp_2,0.0003,102.908,101.371,100.775,102.779,104.664
cmpd_2,exp_2,0.001,102.089,94.21,95.759,97.566,99.362
cmpd_2,exp_2,0.003,100.323,96.892,99.411,96.81,97.208
cmpd_2,exp_2,0.01,91.347,92.681,91.499,92.535,98.137
cmpd_2,exp_2,0.03,82.552,92.439,86.535,85.684,82.804
cmpd_2,exp_2,0.1,67.46,63.938,65.863,72.593,65.262
cmpd_2,exp_2,0.3,41.255,36.143,37.986,42.97,36.352
cmpd_2,exp_2,1.0,20.668,17.62,14.113,17.412,18.35
cmpd_2,exp_2,3.0,8.862,2.812,5.138,6.463,6.941
cmpd_2,exp_2,10.0,3.056,1.834,-2.343,2.392,3.028
cmpd_2,exp_3,0.0001,103.311,102.631,101.596,100.134,95.745
cmpd_2,exp_3,0.0003,100.984,100.373,100.548,96.276,96.815
cmpd_2,exp_3,0.001,101.283,98.267,100.257,98.454,98.458
cmpd_2,exp_3,0.003,101.63,97.615,99.306,97.765,97.84
cmpd_2,exp_3,0.01,94.069,95.535,93.601,98.388,92.453
cmpd_2,exp_3,0.03,86.983,86.286,91.492,88.041,90.347
cmpd_2,exp_3,0.1,64.483,69.32,71.038,68.809,71.525
cmpd_2,exp_3,0.3,39.189,44.507,46.961,39.615,39.388
cmpd_2,exp_3,1.0,21.872,22.219,16.417,16.702,17.082
cmpd_2,exp_3,3.0,3.279,4.454,4.218,4.869,6.892
cmpd_2,exp_3,10.0,1.701,5.333,-1.7,3.771,0.464
cmpd_3,exp_1,0.0001,102.07,97.109,101.263,100.666,101.567
cmpd_3,exp_1,0.0003,99.839,105.819,97.28,97.575,97.321
cmpd_3,exp_1,0.001,98.447,98.22,103.262,103.9,98.404
cmpd_3,exp_1,0.003,98.259,101.856,99.032,102.302,101.115
cmpd_3,exp_1,0.01,94.905,103.359,104.044,97.396,98.018
cmpd_3,exp_1,0.03,99.718,99.852,100.746,104.476,98.44
cmpd_3,exp_1,0.1,93.079,91.476,93.265,95.19,100.235
cmpd_3,exp_1,0.3,84.358,86.405,85.742,89.067,92.761
cmpd_3,exp_1,1.0,64.992,65.106,69.339,68.339,71.554
cmpd_3,exp_1,3.0,40.118,37.514,40.136,41.566,40.771
cmpd_3,exp_1,10.0,17.331,18.875,19.159,19.746,17.722
cmpd_3,exp_2,0.0001,100.806,103.731,98.147,101.419,99.315
cmpd_3,exp_2,0.0003,99.728,103.178,100.177,99.778,95.897
cmpd_3,exp_2,0.001,102.492,102.213,106.402,99.583,101.037
cmpd_3,exp_2,0.003,100.121,103.788,99.17,100.204,101.11
cmpd_3,exp_2,0.01,99.647,97.899,99.668,102.094,96.298
cmpd_3,exp_2,0.03,99.426,97.128,102.359,94.856,97.519
cmpd_3,exp_2,0.1,94.675,97.954,93.452,92.101,98.825
cmpd_3,exp_2,0.3,83.469,81.398,88.681,86.081,84.648
cmpd_3,exp_2,1.0,68.49,67.208,64.978,63.003,68.943
cmpd_3,exp_2,3.0,41.032,38.963,44.333,36.284,35.027
cmpd_3,exp_2,10.0,15.634,17.417,18.215,16.877,18.514
cmpd_3,exp_3,0.0001,103.519,99.306,102.617,100.479,100.794
cmpd_3,exp_3,0.0003,100.953,100.616,101.154,103.049,99.924
cmpd_3,exp_3,0.001,101.864,99.658,103.881,98.039,104.877
cmpd_3,exp_3,0.003,98.859,95.019,99.323,97.089,101.289
cmpd_3,exp_3,0.01,98.48,99.049,95.067,99.033,93.591
cmpd_3,exp_3,0.03,94.03,100.499,100.57,99.575,95.731
cmpd_3,exp_3,0.1,93.771,93.893,90.706,98.053,96.324
cmpd_3,exp_3,0.3,86.107,86.79,87.292,81.082,86.035
cmpd_3,exp_3,1.0,61.706,60.824,62.814,68.551,65.357
cmpd_3,exp_3,3.0,35.011,38.167,40.45,39.139,36.751
cmpd_3,exp_3,10.0,13.386,17.098,16.256,17.642,16.924
