compound_id,experiment_id,concentration,replicate_id,response
cmpd_1,exp_1,0.0001,rep_1,0.452
cmpd_1,exp_1,0.0001,rep_2,2.622
cmpd_1,exp_1,0.0001,rep_3,5.038
cmpd_1,exp_1,0.0001,rep_4,0.187
cmpd_1,exp_1,0.0001,rep_5,0.187
cmpd_1,exp_1,0.0003,rep_1,4.703
cmpd_1,exp_1,0.0003,rep_2,2.463
cmpd_1,exp_1,0.0003,rep_3,-0.952
cmpd_1,exp_1,0.0003,rep_4,1.842
cmpd_1,exp_1,0.0003,rep_5,-0.934
cmpd_1,exp_1,0.001,rep_1,3.305
cmpd_1,exp_1,0.001,rep_2,5.26
cmpd_1,exp_1,0.001,rep_3,-0.69
cmpd_1,exp_1,0.001,rep_4,-0.169
cmpd_1,exp_1,0.001,rep_5,3.039
cmpd_1,exp_1,0.003,rep_1,6.188
cmpd_1,exp_1,0.003,rep_2,9.851
cmpd_1,exp_1,0.003,rep_3,6.477
cmpd_1,exp_1,0.003,rep_4,5.086
cmpd_1,exp_1,0.003,rep_5,13.028
cmpd_1,exp_1,0.01,rep_1,23.131
cmpd_1,exp_1,0.01,rep_2,23.941
cmpd_1,exp_1,0.01,rep_3,19.823
cmpd_1,exp_1,0.01,rep_4,22.251
cmpd_1,exp_1,0.01,rep_5,24.06
cmpd_1,exp_1,0.03,rep_1,46.276
cmpd_1,exp_1,0.03,rep_2,50.49
cmpd_1,exp_1,0.03,rep_3,47.795
cmpd_1,exp_1,0.03,rep_4,48.648
cmpd_1,exp_1,0.03,rep_5,47.792
cmpd_1,exp_1,0.1,rep_1,80.197
cmpd_1,exp_1,0.1,rep_2,75.046
cmpd_1,exp_1,0.1,rep_3,72.165
cmpd_1,exp_1,0.1,rep_4,77.354
cmpd_1,exp_1,0.1,rep_5,71.715
cmpd_1,exp_1,0.3,rep_1,91.309
cmpd_1,exp_1,0.3,rep_2,85.323
cmpd_1,exp_1,0.3,rep_3,87.066
cmpd_1,exp_1,0.3,rep_4,91.275
cmpd_1,exp_1,0.3,rep_5,92.769
cmpd_1,exp_1,1.0,rep_1,98.334
cmpd_1,exp_1,1.0,rep_2,97.542
cmpd_1,exp_1,1.0,rep_3,97.03
cmpd_1,exp_1,1.0,rep_4,93.78
cmpd_1,exp_1,1.0,rep_5,95.875
cmpd_1,exp_1,3.0,rep_1,97.413
cmpd_1,exp_1,3.0,rep_2,101.601
cmpd_1,exp_1,3.0,rep_3,99.631
cmpd_1,exp_1,3.0,rep_4,93.818
cmpd_1,exp_1,3.0,rep_5,99.578
cmpd_1,exp_1,10.0,rep_1,99.352
cmpd_1,exp_1,10.0,rep_2,98.546
cmpd_1,exp_1,10.0,rep_3,102.101
cmpd_1,exp_1,10.0,rep_4,103.259
cmpd_1,exp_1,10.0,rep_5,102.985
cmpd_1,exp_2,0.0001,rep_1,-0.411
cmpd_1,exp_2,0.0001,rep_2,1.358
cmpd_1,exp_2,0.0001,rep_3,3.136
cmpd_1,exp_2,0.0001,rep_4,-0.88
cmpd_1,exp_2,0.0001,rep_5,-0.069
cmpd_1,exp_2,0.0003,rep_1,-2.367
cmpd_1,exp_2,0.0003,rep_2,-2.616
cmpd_1,exp_2,0.0003,rep_3,2.929
cmpd_1,exp_2,0.0003,rep_4,4.429
cmpd_1,exp_2,0.0003,rep_5,0.488
cmpd_1,exp_2,0.001,rep_1,6.284
cmpd_1,exp_2,0.001,rep_2,4.511
cmpd_1,exp_2,0.001,rep_3,1.734
cmpd_1,exp_2,0.001,rep_4,4.511
cmpd_1,exp_2,0.001,rep_5,7.759
cmpd_1,exp_2,0.003,rep_1,8.785
cmpd_1,exp_2,0.003,rep_2,13.202
cmpd_1,exp_2,0.003,rep_3,1.653
cmpd_1,exp_2,0.003,rep_4,11.153
cmpd_1,exp_2,0.003,rep_5,9.124
cmpd_1,exp_2,0.01,rep_1,26.01
cmpd_1,exp_2,0.01,rep_2,27.089
cmpd_1,exp_2,0.01,rep_3,21.35
cmpd_1,exp_2,0.01,rep_4,26.229
cmpd_1,exp_2,0.01,rep_5,27.82
cmpd_1,exp_2,0.03,rep_1,56.488
cmpd_1,exp_2,0.03,rep_2,50.977
cmpd_1,exp_2,0.03,rep_3,50.177
cmpd_1,exp_2,0.03,rep_4,51.023
cmpd_1,exp_2,0.03,rep_5,54.935
cmpd_1,exp_2,0.1,rep_1,78.679
cmpd_1,exp_2,0.1,rep_2,76.31
cmpd_1,exp_2,0.1,rep_3,79.188
cmpd_1,exp_2,0.1,rep_4,78.039
cmpd_1,exp_2,0.1,rep_5,80.445
cmpd_1,exp_2,0.3,rep_1,91.056
cmpd_1,exp_2,0.3,rep_2,92.09
cmpd_1,exp_2,0.3,rep_3,91.912
cmpd_1,exp_2,0.3,rep_4,88.955
cmpd_1,exp_2,0.3,rep_5,93.81
cmpd_1,exp_2,1.0,rep_1,98.487
cmpd_1,exp_2,1.0,rep_2,97.78
cmpd_1,exp_2,1.0,rep_3,97.119
cmpd_1,exp_2,1.0,rep_4,93.861
cmpd_1,exp_2,1.0,rep_5,96.606
cmpd_1,exp_2,3.0,rep_1,97.812
cmpd_1,exp_2,3.0,rep_2,96.544
cmpd_1,exp_2,3.0,rep_3,98.312
cmpd_1,exp_2,3.0,rep_4,99.872
cmpd_1,exp_2,3.0,rep_5,103.963
cmpd_1,exp_2,10.0,rep_1,100.979
cmpd_1,exp_2,10.0,rep_2,101.208
cmpd_1,exp_2,10.0,rep_3,100.291
cmpd_1,exp_2,10.0,rep_4,95.202
cmpd_1,exp_2,10.0,rep_5,100.425
cmpd_1,exp_3,0.0001,rep_1,5.944
cmpd_1,exp_3,0.0001,rep_2,-1.387
cmpd_1,exp_3,0.0001,rep_3,-0.024
cmpd_1,exp_3,0.0001,rep_4,-0.952
cmpd_1,exp_3,0.0001,rep_5,-4.081
cmpd_1,exp_3,0.0003,rep_1,3.494
cmpd_1,exp_3,0.0003,rep_2,2.416
cmpd_1,exp_3,0.0003,rep_3,2.524
cmpd_1,exp_3,0.0003,rep_4,-2.171
cmpd_1,exp_3,0.0003,rep_5,4.212
cmpd_1,exp_3,0.001,rep_1,-0.562
cmpd_1,exp_3,0.001,rep_2,4.928
cmpd_1,exp_3,0.001,rep_3,9.353
cmpd_1,exp_3,0.001,rep_4,0.574
cmpd_1,exp_3,0.001,rep_5,1.745
cmpd_1,exp_3,0.003,rep_1,9.162
cmpd_1,exp_3,0.003,rep_2,7.495
cmpd_1,exp_3,0.003,rep_3,4.607
cmpd_1,exp_3,0.003,rep_4,9.076
cmpd_1,exp_3,0.003,rep_5,5.954
cmpd_1,exp_3,0.01,rep_1,27.14
cmpd_1,exp_3,0.01,rep_2,23.295
cmpd_1,exp_3,0.01,rep_3,30.109
cmpd_1,exp_3,0.01,rep_4,23.67
cmpd_1,exp_3,0.01,rep_5,24.942
cmpd_1,exp_3,0.03,rep_1,52.306
cmpd_1,exp_3,0.03,rep_2,46.663
cmpd_1,exp_3,0.03,rep_3,50.688
cmpd_1,exp_3,0.03,rep_4,53.668
cmpd_1,exp_3,0.03,rep_5,45.624
cmpd_1,exp_3,0.1,rep_1,77.558
cmpd_1,exp_3,0.1,rep_2,77.765
cmpd_1,exp_3,0.1,rep_3,79.206
cmpd_1,exp_3,0.1,rep_4,73.634
cmpd_1,exp_3,0.1,rep_5,73.404
cmpd_1,exp_3,0.3,rep_1,92.865
cmpd_1,exp_3,0.3,rep_2,92.244
cmpd_1,exp_3,0.3,rep_3,92.116
cmpd_1,exp_3,0.3,rep_4,92.381
cmpd_1,exp_3,0.3,rep_5,89.548
cmpd_1,exp_3,1.0,rep_1,96.49
cmpd_1,exp_3,1.0,rep_2,96.658
cmpd_1,exp_3,1.0,rep_3,93.878
cmpd_1,exp_3,1.0,rep_4,100.999
cmpd_1,exp_3,1.0,rep_5,97.157
cmpd_1,exp_3,3.0,rep_1,95.557
cmpd_1,exp_3,3.0,rep_2,100.657
cmpd_1,exp_3,3.0,rep_3,96.155
cmpd_1,exp_3,3.0,rep_4,101.017
cmpd_1,exp_3,3.0,rep_5,102.043
cmpd_1,exp_3,10.0,rep_1,96.817
cmpd_1,exp_3,10.0,rep_2,101.742
cmpd_1,exp_3,10.0,rep_3,100.223
cmpd_1,exp_3,10.0,rep_4,101.351
cmpd_1,exp_3,10.0,rep_5,104.318
cmpd_2,exp_1,0.0001,rep_1,-2.46
cmpd_2,exp_1,0.0001,rep_2,-2.834
cmpd_2,exp_1,0.0001,rep_3,-2.631
cmpd_2,exp_1,0.0001,rep_4,-0.592
cmpd_2,exp_1,0.0001,rep_5,0.561
cmpd_2,exp_1,0.0003,rep_1,1.346
cmpd_2,exp_1,0.0003,rep_2,2.866
cmpd_2,exp_1,0.0003,rep_3,0.618
cmpd_2,exp_1,0.0003,rep_4,4.593
cmpd_2,exp_1,0.0003,rep_5,-0.148
cmpd_2,exp_1,0.001,rep_1,7.591
cmpd_2,exp_1,0.001,rep_2,1.81
cmpd_2,exp_1,0.001,rep_3,-2.283
cmpd_2,exp_1,0.001,rep_4,-2.873
cmpd_2,exp_1,0.001,rep_5,1.414
cmpd_2,exp_1,0.003,rep_1,0.583
cmpd_2,exp_1,0.003,rep_2,3.17
cmpd_2,exp_1,0.003,rep_3,2.505
cmpd_2,exp_1,0.003,rep_4,0.999
cmpd_2,exp_1,0.003,rep_5,-1.138
cmpd_2,exp_1,0.01,rep_1,0.258
cmpd_2,exp_1,0.01,rep_2,3.206
cmpd_2,exp_1,0.01,rep_3,6.802
cmpd_2,exp_1,0.01,rep_4,5.029
cmpd_2,exp_1,0.01,rep_5,1.0
cmpd_2,exp_1,0.03,rep_1,9.038
cmpd_2,exp_1,0.03,rep_2,9.622
cmpd_2,exp_1,0.03,rep_3,6.12
cmpd_2,exp_1,0.03,rep_4,8.984
cmpd_2,exp_1,0.03,rep_5,8.72
cmpd_2,exp_1,0.1,rep_1,22.071
cmpd_2,exp_1,0.1,rep_2,26.212
cmpd_2,exp_1,0.1,rep_3,26.773
cmpd_2,exp_1,0.1,rep_4,28.216
cmpd_2,exp_1,0.1,rep_5,28.134
cmpd_2,exp_1,0.3,rep_1,46.69
cmpd_2,exp_1,0.3,rep_2,47.903
cmpd_2,exp_1,0.3,rep_3,51.913
cmpd_2,exp_1,0.3,rep_4,51.911
cmpd_2,exp_1,0.3,rep_5,51.913
cmpd_2,exp_1,1.0,rep_1,86.047
cmpd_2,exp_1,1.0,rep_2,76.988
cmpd_2,exp_1,1.0,rep_3,78.546
cmpd_2,exp_1,1.0,rep_4,78.045
cmpd_2,exp_1,1.0,rep_5,77.21
cmpd_2,exp_1,3.0,rep_1,91.079
cmpd_2,exp_1,3.0,rep_2,94.043
cmpd_2,exp_1,3.0,rep_3,89.817
cmpd_2,exp_1,3.0,rep_4,91.296
cmpd_2,exp_1,3.0,rep_5,90.61
cmpd_2,exp_1,10.0,rep_1,97.304
cmpd_2,exp_1,10.0,rep_2,103.465
cmpd_2,exp_1,10.0,rep_3,91.923
cmpd_2,exp_1,10.0,rep_4,98.97
cmpd_2,exp_1,10.0,rep_5,92.625
cmpd_2,exp_2,0.0001,rep_1,3.317
cmpd_2,exp_2,0.0001,rep_2,0.489
cmpd_2,exp_2,0.0001,rep_3,-2.664
cmpd_2,exp_2,0.0001,rep_4,-1.664
cmpd_2,exp_2,0.0001,rep_5,2.186
cmpd_2,exp_2,0.0003,rep_1,-1.171
cmpd_2,exp_2,0.0003,rep_2,1.442
cmpd_2,exp_2,0.0003,rep_3,0.97
cmpd_2,exp_2,0.0003,rep_4,-0.954
cmpd_2,exp_2,0.0003,rep_5,6.762
cmpd_2,exp_2,0.001,rep_1,1.657
cmpd_2,exp_2,0.001,rep_2,-5.683
