compound_id,experiment_id,concentration,response_1,response_2,response_3,response_4,response_5
cmpd_1,exp_1,0.0001,0.452,2.622,5.038,0.187,0.187
cmpd_1,exp_1,0.0003,4.703,2.463,-0.952,1.842,-0.934
cmpd_1,exp_1,0.001,3.305,5.26,-0.69,-0.169,3.039
cmpd_1,exp_1,0.003,6.188,9.851,6.477,5.086,13.028
cmpd_1,exp_1,0.01,23.131,23.941,19.823,22.251,24.06
cmpd_1,exp_1,0.03,46.276,50.49,47.795,48.648,47.792
cmpd_1,exp_1,0.1,80.197,75.046,72.165,77.354,71.715
cmpd_1,exp_1,0.3,91.309,85.323,87.066,91.275,92.769
cmpd_1,exp_1,1.0,98.334,97.542,97.03,93.78,95.875
cmpd_1,exp_1,3.0,97.413,101.601,99.631,93.818,99.578
cmpd_1,exp_1,10.0,99.352,98.546,102.101,103.259,102.985
cmpd_1,exp_2,0.0001,-0.411,1.358,3.136,-0.88,-0.069
cmpd_1,exp_2,0.0003,-2.367,-2.616,2.929,4.429,0.488
cmpd_1,exp_2,0.001,6.284,4.511,1.734,4.511,7.759
cmpd_1,exp_2,0.003,8.785,13.202,1.653,11.153,9.124
cmpd_1,exp_2,0.01,26.01,27.089,21.35,26.229,27.82
cmpd_1,exp_2,0.03,56.488,50.977,50.177,51.023,54.935
cmpd_1,exp_2,0.1,78.679,76.31,79.188,78.039,80.445
cmpd_1,exp_2,0.3,91.056,92.09,91.912,88.955,93.81
cmpd_1,exp_2,1.0,98.487,97.78,97.119,93.861,96.606
cmpd_1,exp_2,3.0,97.812,96.544,98.312,99.872,103.963
cmpd_1,exp_2,10.0,100.979,101.208,100.291,95.202,100.425
cmpd_1,exp_3,0.0001,5.944,-1.387,-0.024,-0.952,-4.081
cmpd_1,exp_3,0.0003,3.494,2.416,2.524,-2.171,4.212
cmpd_1,exp_3,0.001,-0.562,4.928,9.353,0.574,1.745
cmpd_1,exp_3,0.003,9.162,7.495,4.607,9.076,5.954
cmpd_1,exp_3,0.01,27.14,23.295,30.109,23.67,24.942
cmpd_1,exp_3,0.03,52.306,46.663,50.688,53.668,45.624
cmpd_1,exp_3,0.1,77.558,77.765,79.206,73.634,73.404
cmpd_1,exp_3,0.3,92.865,92.244,92.116,92.381,89.548
cmpd_1,exp_3,1.0,96.49,96.658,93.878,100.999,97.157
cmpd_1,exp_3,3.0,95.557,100.657,96.155,101.017,102.043
cmpd_1,exp_3,10.0,96.817,101.742,100.223,101.351,104.318
cmpd_2,exp_1,0.0001,-2.46,-2.834,-2.631,-0.592,0.561
cmpd_2,exp_1,0.0003,1.346,2.866,0.618,4.593,-0.148
cmpd_2,exp_1,0.001,7.591,1.81,-2.283,-2.873,1.414
cmpd_2,exp_1,0.003,0.583,3.17,2.505,0.999,-1.138
cmpd_2,exp_1,0.01,0.258,3.206,6.802,5.029,1.0
cmpd_2,exp_1,0.03,9.038,9.622,6.12,8.984,8.72
cmpd_2,exp_1,0.1,22.071,26.212,26.773,28.216,28.134
cmpd_2,exp_1,0.3,46.69,47.903,51.913,51.911,51.913
cmpd_2,exp_1,1.0,86.047,76.988,78.546,78.045,77.21
cmpd_2,exp_1,3.0,91.079,94.043,89.817,91.296,90.61
cmpd_2,exp_1,10.0,97.304,103.465,91.923,98.97,92.625
cmpd_2,exp_2,0.0001,3.317,0.489,-2.664,-1.664,2.186
cmpd_2,exp_2,0.0003,-1.171,1.442,0.97,-0.954,6.762
cmpd_2,exp_2,0.001,1.657,-5.683,0.423,-1.92,2.259
cmpd_2,exp_2,0.003,-0.792,1.078,2.79,3.785,-1.917
cmpd_2,exp_2,0.01,2.051,1.663,1.172,7.847,4.092
cmpd_2,exp_2,0.03,4.91,10.923,14.247,11.239,4.196
cmpd_2,exp_2,0.1,24.901,29.734,24.285,27.462,28.377
cmpd_2,exp_2,0.3,49.129,51.523,42.742,48.861,50.99
cmpd_2,exp_2,1.0,74.829,82.779,74.326,77.059,78.634
cmpd_2,exp_2,3.0,96.158,88.217,95.391,92.209,89.472
cmpd_2,exp_2,10.0,98.09,97.364,95.159,97.008,95.751
cmpd_2,exp_3,0.0001,2.152,4.702,-3.092,6.212,-5.063
cmpd_2,exp_3,0.0003,-0.583,1.46,0.612,-1.882,-0.737
cmpd_2,exp_3,0.001,-1.832,-2.098,1.873,0.514,-2.384
cmpd_2,exp_3,0.003,3.568,1.934,3.329,2.823,-1.203
cmpd_2,exp_3,0.01,0.92,4.529,4.151,2.409,2.79
cmpd_2,exp_3,0.03,12.648,7.49,10.632,8.564,8.522
cmpd_2,exp_3,0.1,28.046,27.291,27.258,28.616,25.071
cmpd_2,exp_3,0.3,51.164,48.425,50.176,48.923,49.55
cmpd_2,exp_3,1.0,79.115,75.216,83.249,74.697,74.123
cmpd_2,exp_3,3.0,93.321,92.309,91.847,91.858,90.091
cmpd_2,exp_3,10.0,93.904,96.59,94.512,99.072,95.974
cmpd_3,exp_1,0.0001,-0.421,1.604,-1.09,-1.804,1.139
cmpd_3,exp_1,0.0003,0.185,-1.891,-1.792,0.149,-4.488
cmpd_3,exp_1,0.001,-3.606,-1.704,-0.311,1.136,4.35
cmpd_3,exp_1,0.003,3.222,0.414,0.803,-1.911,0.804
cmpd_3,exp_1,0.01,-0.912,0.774,-2.399,1.318,4.113
cmpd_3,exp_1,0.03,1.543,2.951,3.747,0.735,2.46
cmpd_3,exp_1,0.1,3.454,3.689,1.286,3.488,4.794
cmpd_3,exp_1,0.3,12.529,11.171,14.467,6.405,10.93
cmpd_3,exp_1,1.0,27.426,32.964,24.688,24.602,25.264
cmpd_3,exp_1,3.0,45.777,50.187,49.543,52.053,52.581
cmpd_3,exp_1,10.0,83.374,80.819,76.603,75.716,79.553
cmpd_3,exp_2,0.0001,5.212,3.412,-1.139,-4.571,3.894
cmpd_3,exp_2,0.0003,-0.45,3.283,-4.534,-1.788,-0.119
cmpd_3,exp_2,0.001,1.327,-0.043,2.918,-1.748,0.806
cmpd_3,exp_2,0.003,0.631,1.718,2.262,-2.805,-3.935
cmpd_3,exp_2,0.01,3.16,0.55,-2.432,3.915,-0.048
cmpd_3,exp_2,0.03,4.004,0.936,6.436,5.594,0.062
cmpd_3,exp_2,0.1,4.927,4.027,6.024,-0.418,4.139
cmpd_3,exp_2,0.3,13.873,6.097,7.685,5.323,10.208
cmpd_3,exp_2,1.0,29.583,31.749,27.808,32.097,23.793
cmpd_3,exp_2,3.0,48.972,53.52,54.733,53.582,47.967
cmpd_3,exp_2,10.0,80.342,76.988,82.437,81.601,77.995
cmpd_3,exp_3,0.0001,-2.785,-0.034,2.775,-2.581,1.531
cmpd_3,exp_3,0.0003,-1.112,-1.837,0.056,-2.506,-1.177
cmpd_3,exp_3,0.001,-2.872,5.857,0.532,-1.497,1.025
cmpd_3,exp_3,0.003,-1.32,-1.622,0.684,1.078,-2.476
cmpd_3,exp_3,0.01,-0.778,0.051,-5.543,-3.371,4.583
cmpd_3,exp_3,0.03,4.767,-0.461,1.818,1.087,8.725
cmpd_3,exp_3,0.1,6.18,2.737,0.453,-1.343,3.652
cmpd_3,exp_3,0.3,8.795,6.956,9.097,7.896,15.538
cmpd_3,exp_3,1.0,28.225,25.77,29.877,26.006,23.416
cmpd_3,exp_3,3.0,55.64,52.924,48.573,50.911,49.019
cmpd_3,exp_3,10.0,74.516,80.889,83.602,74.472,79.885
